Date,Open,High,Low,close,Vol.
2014-07-01,2051.22,2202.13,2033.00,2201.56,298100000000.00
2014-06-01,2039.20,2087.32,2010.53,2048.33,159120000000.00
2014-05-01,2022.18,2061.06,1991.06,2039.21,151250000000.00
2014-04-01,2031.00,2146.67,1997.64,2026.36,206740000000.00
2014-03-01,2052.08,2079.55,1974.38,2033.31,231300000000.00
2014-02-01,2022.32,2177.98,2014.38,2056.30,205120000000.00
2014-01-01,2112.13,2113.11,1984.82,2033.08,156360000000.00
2013-12-01,2203.12,2260.87,2068.54,2115.98,207130000000.00
2013-11-01,2139.88,2234.39,2078.99,2220.50,218790000000.00
2013-10-01,2171.90,2242.98,2093.20,2141.61,237740000000.00
2013-09-01,2104.09,2270.27,2078.46,2174.66,299950000000.00
2013-08-01,2000.82,2198.85,1997.06,2098.38,248950000000.00
2013-07-01,1965.99,2092.87,1946.37,1993.80,216500000000.00
2013-06-01,2300.21,2313.43,1849.65,1979.21,155240000000.00
2013-05-01,2170.78,2334.33,2161.14,2300.59,229490000000.00
2013-04-01,2229.46,2253.42,2165.78,2177.91,149710000000.00
2013-03-01,2364.54,2369.65,2228.81,2236.62,232600000000.00
2013-02-01,2377.41,2444.80,2289.89,2365.59,193560000000.00
2013-01-01,2289.51,2391.82,2234.95,2385.42,267190000000.00
2012-12-01,1977.25,2269.51,1949.46,2269.13,224520000000.00
2012-11-01,2070.02,2123.33,1959.33,1980.12,124520000000.00
2012-10-01,2084.85,2138.03,2053.09,2068.88,123130000000.00
2012-09-01,2044.82,2145.00,1999.48,2086.17,143280000000.00
2012-08-01,2101.72,2176.80,2032.54,2047.52,136400000000.00
2012-07-01,2234.32,2244.83,2100.25,2103.63,134910000000.00
2012-06-01,2373.22,2388.09,2188.72,2225.43,127610000000.00
2012-05-01,2421.08,2453.73,2309.07,2372.23,199120000000.00
2012-04-01,2258.03,2415.75,2251.39,2396.32,163370000000.00
2012-03-01,2418.79,2476.22,2242.34,2262.79,208950000000.00
2012-02-01,2288.07,2478.38,2263.34,2428.49,195230000000.00
2012-01-01,2212.00,2324.49,2132.63,2292.61,104560000000.00
2011-12-01,2392.48,2423.56,2134.02,2199.42,115450000000.00
2011-11-01,2450.33,2536.78,2319.44,2333.41,164170000000.00
2011-10-01,2363.08,2483.76,2307.15,2468.25,120180000000.00
2011-09-01,2569.80,2584.80,2348.22,2359.22,119030000000.00
2011-08-01,2697.57,2712.89,2437.68,2567.34,180200000000.00
2011-07-01,2767.83,2826.96,2677.12,2701.73,197200000000.00
2011-06-01,2737.06,2774.37,2610.99,2762.08,162700000000.00
2011-05-01,2911.51,2933.46,2689.21,2743.47,178510000000.00
2011-04-01,2932.48,3067.46,2871.01,2911.51,230990000000.00
2011-03-01,2906.28,3012.04,2850.94,2928.11,294100000000.00
2011-02-01,2795.07,2944.41,2760.18,2905.05,175650000000.00
2011-01-01,2825.33,2868.01,2661.45,2790.69,172830000000.00
2010-12-01,2810.54,2939.05,2721.48,2808.08,211970000000.00
2010-11-01,2986.89,3186.72,2758.92,2820.18,353400000000.00
2010-10-01,2681.25,3073.38,2677.99,2978.83,297010000000.00
2010-09-01,2641.05,2704.93,2573.63,2655.66,204530000000.00
2010-08-01,2635.81,2701.93,2564.84,2638.80,240950000000.00
2010-07-01,2393.95,2656.41,2319.74,2637.50,190750000000.00
2010-06-01,2577.76,2598.90,2382.36,2398.37,122570000000.00
2010-05-01,2821.35,2862.55,2481.97,2592.15,166990000000.00
2010-04-01,3111.93,3181.66,2820.95,2870.61,229740000000.00
2010-03-01,3057.01,3132.58,2963.44,3109.11,214920000000.00
2010-02-01,2981.37,3067.53,2890.02,3051.94,122550000000.00
2010-01-01,3289.75,3306.75,2963.89,2989.29,235570000000.00
2009-12-01,3191.06,3334.01,3039.86,3277.14,269100000000.00
2009-11-01,2933.82,3361.39,2923.53,3195.30,343000000000.00
2009-10-01,2840.13,3123.46,2834.62,2995.85,176730000000.00
2009-09-01,2649.17,3068.03,2639.76,2779.43,258010000000.00
2009-08-01,3429.69,3478.01,2663.00,2667.74,290960000000.00
2009-07-01,2950.17,3454.02,2947.69,3412.06,416590000000.00
2009-06-01,2668.40,2997.27,2668.40,2959.36,297820000000.00
2009-05-01,2486.68,2688.11,2486.22,2632.93,247150000000.00
2009-04-01,2380.98,2579.22,2331.88,2477.57,317750000000.00
2009-03-01,2066.23,2392.77,2037.02,2373.21,287190000000.00
2009-02-01,2008.13,2402.81,1987.13,2082.85,324390000000.00
2009-01-01,1849.02,2018.51,1844.09,1990.66,135000000000.00
2008-12-01,1865.74,2100.81,1814.75,1820.81,227540000000.00
2008-11-01,1713.76,2050.88,1678.96,1871.16,182700000000.00
2008-10-01,2267.39,2267.39,1664.92,1728.79,102000000000.00
2008-09-01,2380.47,2380.47,1802.33,2293.78,106060000000.00
2008-08-01,2751.02,2830.76,2284.59,2397.37,91520000000.00
2008-07-01,2743.16,2952.04,2566.53,2775.72,144980000000.00
2008-06-01,3426.20,3483.61,2693.40,2736.10,101830000000.00
2008-05-01,3739.80,3786.02,3333.95,3433.35,142480000000.00
2008-04-01,3461.09,3705.09,2990.79,3693.11,136810000000.00
2008-03-01,4323.70,4472.15,3357.23,3472.71,129090000000.00
2008-02-01,4388.25,4695.80,4123.31,4348.54,86120000000.00
2008-01-01,5265.00,5522.78,4330.70,4383.39,177170000000.00
2007-12-01,4838.56,5336.50,4798.01,5261.56,125150000000.00
2007-11-01,5978.94,6005.13,4778.73,4871.78,100700000000.00
2007-10-01,5683.31,6124.04,5462.01,5954.77,134070000000.00
2007-09-01,5257.78,5560.42,5025.34,5552.30,191890000000.00
2007-08-01,4488.77,5235.16,4284.87,5218.82,240790000000.00
2007-07-01,3800.23,4476.63,3563.54,4471.03,169550000000.00
2007-06-01,4120.63,4312.00,3404.15,3820.70,265020000000.00
2007-05-01,3937.94,4335.96,3845.23,4109.65,291420000000.00
2007-04-01,3196.59,3851.35,3196.59,3841.27,291090000000.00
2007-03-01,2877.20,3273.73,2723.07,3183.98,243630000000.00
2007-02-01,2744.81,3049.77,2541.53,2881.07,147270000000.00
2007-01-01,2728.19,2994.28,2617.02,2786.34,231770000000.00
2006-12-01,2106.30,2698.90,2084.27,2675.47,162660000000.00
2006-11-01,1838.68,2102.06,1833.20,2099.29,119330000000.00
2006-10-01,1768.14,1842.73,1753.49,1837.99,80210000000.00
2006-09-01,1658.66,1755.69,1634.03,1752.42,78240000000.00
2006-08-01,1619.63,1667.53,1541.41,1658.64,63170000000.00
2006-07-01,1677.31,1757.47,1611.16,1612.73,85720000000.00
2006-06-01,1639.67,1695.58,1512.52,1672.21,98590000000.00
2006-05-01,1446.99,1678.60,1446.99,1641.30,115630000000.00
2006-04-01,1298.68,1444.71,1298.68,1440.22,82600000000.00
2006-03-01,1299.15,1313.12,1238.16,1298.30,50280000000.00
2006-02-01,1251.27,1304.61,1245.92,1299.03,49310000000.00
2006-01-01,1163.88,1262.09,1161.91,1258.05,45170000000.00
2005-12-01,1098.78,1173.06,1074.01,1161.06,29660000000.00
2005-11-01,1091.68,1122.88,1074.30,1099.26,31480000000.00
2005-10-01,1153.67,1165.67,1067.41,1092.82,26740000000.00
2005-09-01,1163.70,1223.57,1129.05,1155.61,54580000000.00
2005-08-01,1082.80,1201.76,1081.12,1162.80,63610000000.00
2005-07-01,1077.31,1097.63,1004.08,1083.03,30640000000.00
2005-06-01,1059.61,1146.42,998.23,1080.94,38620000000.00
2005-05-01,1160.62,1165.39,1043.28,1060.74,18110000000.00
2005-04-01,1180.37,1254.32,1135.73,1159.15,31890000000.00
2005-03-01,1305.25,1326.08,1162.03,1181.24,31120000000.00
2005-02-01,1189.50,1328.53,1187.26,1306.00,22340000000.00
2005-01-01,1260.78,1268.86,1189.21,1191.82,19710000000.00
2004-12-01,1340.92,1352.45,1264.15,1266.50,22130000000.00
2004-11-01,1317.66,1387.34,1290.99,1340.77,30010000000.00
2004-10-01,1395.67,1437.57,1289.87,1320.54,26150000000.00
2004-09-01,1340.75,1496.21,1259.43,1396.70,38910000000.00
2004-08-01,1381.88,1424.55,1310.02,1342.06,18070000000.00
2004-07-01,1398.20,1466.78,1366.50,1386.20,23100000000.00
2004-06-01,1555.56,1580.57,1376.22,1399.16,22130000000.00
2004-05-01,1600.63,1606.07,1508.64,1555.91,14790000000.00
2004-04-01,1744.71,1783.01,1572.23,1595.59,37300000000.00
2004-03-01,1676.22,1760.08,1634.71,1741.62,41460000000.00
2004-02-01,1630.65,1730.28,1585.96,1675.07,54600000000.00
2004-01-01,1492.72,1634.41,1491.69,1590.73,32020000000.00
2003-12-01,1398.71,1525.30,1398.71,1497.04,39280000000.00
2003-11-01,1346.48,1423.58,1307.39,1397.22,28130000000.00
2003-10-01,1366.20,1411.88,1334.78,1348.30,15160000000.00
2003-09-01,1423.35,1456.55,1348.22,1367.16,14180000000.00
2003-08-01,1476.47,1497.10,1406.68,1421.98,11640000000.00
2003-07-01,1485.52,1540.19,1464.87,1476.74,18630000000.00
2003-06-01,1577.99,1582.41,1483.69,1486.02,19090000000.00
2003-05-01,1522.98,1581.61,1477.25,1576.26,23240000000.00
2003-04-01,1513.00,1649.60,1473.27,1521.44,45960000000.00
2003-03-01,1511.59,1529.75,1447.01,1510.58,15140000000.00
2003-02-01,1499.17,1524.75,1474.47,1511.93,11980000000.00
2003-01-01,1347.43,1508.59,1311.68,1499.82,26370000000.00
2002-12-01,1432.03,1439.85,1348.71,1357.65,12640000000.00
2002-11-01,1507.38,1573.10,1353.14,1434.18,14060000000.00
2002-10-01,1577.05,1577.05,1488.68,1507.50,9470000000.00
2002-09-01,1666.34,1680.28,1577.53,1581.62,7960000000.00
2002-08-01,1650.05,1696.28,1624.05,1666.62,10780000000.00
2002-07-01,1736.29,1741.92,1647.27,1651.59,20200000000.00
2002-06-01,1510.25,1748.89,1455.31,1732.76,24830000000.00
2002-05-01,1669.87,1670.92,1506.54,1515.73,10520000000.00
2002-04-01,1598.03,1680.30,1575.97,1667.75,17500000000.00
2002-03-01,1521.53,1693.87,1494.83,1603.90,27300000000.00
2002-02-01,1494.58,1544.92,1476.13,1524.70,8470000000.00
2002-01-01,1643.48,1643.50,1339.20,1491.66,14240000000.00
2001-12-01,1751.05,1776.02,1593.03,1645.97,12020000000.00
2001-11-01,1692.35,1748.00,1550.46,1747.99,12360000000.00
2001-10-01,1766.13,1773.80,1514.86,1689.17,10930000000.00
2001-09-01,1831.70,1888.90,1750.76,1764.87,9110000000.00
2001-08-01,1925.24,1990.70,1795.57,1834.14,13930000000.00
2001-07-01,2220.42,2223.21,1909.30,1920.32,13180000000.00
2001-06-01,2216.56,2245.43,2157.12,2218.03,20690000000.00
2001-05-01,2119.90,2222.65,2119.89,2214.26,19170000000.00
2001-04-01,2117.45,2179.74,2081.64,2119.18,24340000000.00
2001-03-01,1959.01,2112.88,1953.72,2112.78,25260000000.00
2001-02-01,2069.86,2072.55,1893.78,1959.18,8490000000.00
2001-01-01,2077.08,2131.98,2007.71,2065.61,12540000000.00
2000-12-01,2073.09,2097.29,2024.29,2073.48,15570000000.00
2000-11-01,1961.08,2125.72,1959.72,2070.61,18640000000.00
2000-10-01,1912.08,1980.63,1896.94,1961.29,9930000000.00
2000-09-01,2009.15,2026.35,1874.21,1910.16,11580000000.00
2000-08-01,2027.01,2114.52,1980.35,2021.20,26430000000.00
2000-07-01,1917.44,2025.00,1888.25,2023.54,21550000000.00
2000-06-01,1900.53,1953.34,1884.62,1928.11,25430000000.00
2000-05-01,1848.17,1908.31,1695.53,1894.55,17030000000.00
2000-04-01,1799.58,1858.27,1746.30,1836.32,23550000000.00
2000-03-01,1720.60,1811.06,1596.07,1800.22,33060000000.00
2000-02-01,1591.44,1770.88,1583.58,1714.58,23540000000.00
2000-01-01,1368.69,1547.71,1361.21,1535.00,17550000000.00
