Date,Open,High,Low,Close,Volume
30-Sep-08,1164.17,1167.03,839.8,968.75,1.59823E+11
31-Aug-08,1287.83,1303.04,1106.42,1166.36,1.40007E+11
31-Jul-08,1269.42,1313.15,1247.45,1282.83,86266010000
30-Jun-08,1276.69,1292.17,1200.44,1267.38,1.24981E+11
31-May-08,1399.62,1404.05,1272,1280,96614040000
30-Apr-08,1385.97,1440.24,1373.07,1400.38,80990480000
31-Mar-08,1326.41,1404.57,1324.35,1385.59,85978630000
1-Mar-08,1330.45,1359.68,1256.98,1322.7,93189170000
1-Feb-08,1378.6,1396.02,1316.75,1330.63,78536130000
1-Jan-08,1467.97,1471.77,1270.05,1378.55,98475340000
1-Dec-07,1479.63,1523.57,1435.65,1468.36,64821670000
31-Oct-07,1545.79,1545.79,1406.1,1481.14,86246950000
30-Sep-07,1527.29,1576.09,1489.56,1549.38,76022580000
31-Aug-07,1473.96,1538.74,1439.29,1526.75,57809700000
31-Jul-07,1455.18,1503.89,1370.6,1473.99,91381760000
30-Jun-07,1504.66,1555.9,1454.25,1455.27,70337430000
31-May-07,1530.62,1540.56,1484.18,1503.35,65322800000
30-Apr-07,1482.37,1535.56,1476.7,1530.62,64958050000
31-Mar-07,1420.83,1498.02,1416.37,1482.37,57032470000
1-Mar-07,1406.8,1438.89,1363.98,1420.86,67622250000
1-Feb-07,1437.9,1461.57,1389.42,1406.82,51844990000
1-Jan-07,1418.03,1441.61,1403.97,1438.24,56686200000
1-Dec-06,1400.63,1431.81,1385.93,1418.3,47578780000
1-Nov-06,1377.76,1407.89,1360.98,1400.63,55343930000
30-Sep-06,1335.82,1389.45,1327.1,1377.94,56793620000
31-Aug-06,1303.8,1340.28,1290.93,1335.85,49001440000
31-Jul-06,1278.53,1306.74,1261.3,1303.82,50485620000
30-Jun-06,1270.06,1280.42,1224.54,1276.66,46348220000
31-May-06,1270.05,1290.68,1219.29,1270.2,54873260000
30-Apr-06,1310.61,1326.7,1245.34,1270.09,54312830000
1-Apr-06,1302.88,1318.16,1280.74,1310.61,43308430000
1-Mar-06,1280.66,1310.88,1268.42,1294.87,50905040000
1-Feb-06,1280.08,1297.57,1253.61,1280.66,42859940000
1-Jan-06,1248.29,1294.9,1245.74,1280.08,49211650000
1-Dec-05,1249.48,1275.8,1246.59,1248.29,41756130000
1-Nov-05,1207.01,1270.64,1201.07,1249.48,45102870000
30-Sep-05,1228.81,1233.34,1168.2,1207.01,49793790000
31-Aug-05,1220.33,1243.13,1205.35,1228.81,44777510000
31-Jul-05,1234.18,1245.86,1201.07,1220.33,42030090000
30-Jun-05,1191.33,1245.15,1183.55,1234.18,37464670000
31-May-05,1191.5,1219.59,1188.3,1191.33,40334040000
30-Apr-05,1156.85,1199.56,1146.18,1191.5,39321990000
1-Apr-05,1180.59,1191.88,1136.15,1156.85,43424270000
1-Mar-05,1203.6,1229.11,1163.69,1180.59,39014150000
1-Feb-05,1181.27,1212.44,1180.95,1203.6,29297410000
