,1. open,2. high,3. low,4. close,5. volume
2021-01-29,4.0300,4.2800,3.9200,3.9500,3061647520
2020-12-31,4.1800,4.2700,3.9700,4.0300,1982866670
2020-11-30,3.8900,4.3300,3.8800,4.1900,3104978340
2020-10-30,3.9100,3.9700,3.8500,3.9000,1050338890
2020-09-30,4.0200,4.0400,3.8800,3.9100,1788858090
2020-08-31,4.0000,4.1000,3.9700,4.0300,3250787080
2020-07-31,3.9200,4.3600,3.9000,4.0000,4792972320
2020-06-30,4.1500,4.3000,3.9000,3.9100,1836279650
2020-05-29,4.4600,4.4600,4.1400,4.1400,1209277500
2020-04-30,4.4200,4.6500,4.3600,4.4600,2457215870
2020-03-31,4.6200,5.0000,4.4000,4.4300,3473765070
2020-02-28,4.5000,4.7900,4.4900,4.6000,2354719850
2020-01-31,5.1100,5.4100,4.9000,4.9400,1564194260
2019-12-31,4.9600,5.1200,4.9000,5.1100,1127659430
2019-11-29,4.8800,5.0400,4.8400,4.9900,1175435180
2019-10-31,5.0200,5.1100,4.8900,4.9000,848932070
2019-09-30,4.9900,5.4100,4.9700,5.0200,1605472430
2019-08-30,5.2500,5.2700,4.8900,4.9800,1296295860
2019-07-31,5.5000,5.5100,5.1800,5.2700,1472203680
2019-06-28,5.4400,5.5500,5.1900,5.4700,1644492170
2019-05-31,5.6800,5.6800,5.3200,5.4300,1855857800
2019-04-30,5.7500,6.1000,5.6100,5.6800,3949114100
2019-03-29,6.0400,6.2200,5.6100,5.7400,3460555500
2019-02-28,5.7300,6.1000,5.6000,6.0100,1861262810
2019-01-31,5.0500,5.7700,4.9600,5.7300,2590955440
2018-12-31,6.0000,6.0800,4.9900,5.0500,2225974770
2018-11-30,6.3000,6.3700,5.7100,5.9000,2187326470
2018-10-31,7.1200,7.1200,6.0200,6.3100,2708438260
2018-09-28,6.8000,7.1400,6.5700,7.1200,2009794090
2018-08-31,6.7000,6.9800,6.3100,6.8400,2213167640
2018-07-31,6.4500,6.8300,6.0400,6.7600,1707916270
2018-06-29,7.0000,7.1000,6.0500,6.4900,2151623240
2018-05-31,6.9100,7.4500,6.7400,7.0500,3067899920
2018-04-30,6.4800,7.0400,6.2600,6.9100,2755759150
2018-03-30,6.3200,6.9900,6.2700,6.4800,3535232430
2018-02-28,7.1000,7.7200,6.1100,6.4100,4609056770
2018-01-31,6.1300,7.6200,6.1300,7.0800,8468771370
2017-12-29,6.0300,6.2000,5.9000,6.1300,2083958810
2017-11-30,5.9800,6.4000,5.8900,6.0300,4381387090
2017-10-31,5.9000,6.0100,5.7700,5.9700,1624302410
2017-09-29,6.0200,6.0300,5.7800,5.9000,1615453960
2017-08-31,6.1300,6.2400,5.8900,6.0100,2490470140
2017-07-31,5.9400,6.3500,5.9100,6.1100,2382196870
2017-06-30,6.2200,6.3500,5.8700,5.9300,2353751900
2017-05-31,5.7800,6.3200,5.5300,6.2700,2228050750
2017-04-28,5.7400,6.0300,5.6600,5.7800,1693850790
2017-03-31,5.7500,5.8600,5.4400,5.7400,2777952580
2017-02-28,6.0300,6.0400,5.7100,5.7500,2389747050
2017-01-31,5.4100,6.0900,5.4000,6.0300,2889858030
2016-12-30,5.2600,5.7300,5.2200,5.4100,4072674450
2016-11-30,4.9800,5.2600,4.8600,5.1200,2046808330
2016-10-31,4.8600,5.1400,4.8600,5.0100,1156004330
2016-09-30,4.9900,5.0100,4.7400,4.8600,1010733060
2016-08-31,4.7900,5.0500,4.7400,5.0000,1376934230
2016-07-29,4.7100,4.9100,4.6900,4.7900,1425821120
2016-06-30,4.8300,4.8700,4.5300,4.7200,1135744900
2016-05-31,4.8700,4.9400,4.5700,4.8300,1747539450
2016-04-29,4.7500,5.1400,4.7100,4.8700,3040254960
2016-03-31,4.3500,4.8500,4.3200,4.7600,3683271280
2016-02-29,4.3800,4.5300,4.2200,4.3500,1603821290
2016-01-29,4.9600,5.0000,4.1500,4.3800,2863184580
2015-12-31,4.9100,5.2300,4.7700,4.9600,3223710160
2015-11-30,5.0000,5.4600,4.8200,4.9100,4629770930
2015-10-30,4.7400,5.2400,4.7400,5.0300,3333557180
2015-09-30,5.0500,5.2200,4.7000,4.7400,4089581760
