,1. open,2. high,3. low,4. close,5. volume
2020-04-30,809.2000,945.0000,763.0000,897.3500,4413191
2020-03-31,1201.1500,1211.5000,661.0500,806.8500,14662759
2020-02-28,1299.5500,1325.0000,1162.3500,1183.0000,3028340
2020-01-31,1310.0000,1376.3500,1283.6000,1369.1000,2968458
2019-12-31,1331.0000,1342.4000,1255.6000,1298.9500,3033430
2019-11-29,1473.0000,1481.0000,1315.0500,1330.6000,4064269
2019-10-31,1480.0000,1495.9500,1382.0000,1473.4000,2858844
2019-09-30,1332.0000,1554.0500,1289.1000,1476.6000,4568925
2019-08-30,1382.9000,1399.0000,1274.1000,1328.1000,3863055
2019-07-31,1562.0000,1591.6000,1361.2000,1387.1500,6145070
2019-06-28,1565.0000,1584.7000,1495.0000,1553.0500,3120684
2019-05-31,1352.5000,1606.7000,1284.9000,1557.9500,5322599
2019-04-30,1387.0000,1427.0000,1337.3000,1347.7500,5145715
2019-03-29,1300.0000,1414.9500,1276.3500,1384.0500,5536393
2019-02-28,1315.0000,1334.5000,1202.3000,1294.5000,3563824
2019-01-31,1449.0000,1449.0000,1268.0000,1313.4000,4162330
2018-12-31,1435.0000,1459.1000,1344.5000,1438.5000,2910839
2018-11-30,1336.1500,1435.0000,1321.9500,1429.6500,4306473
2018-10-31,1272.1000,1303.0000,1183.4000,1298.3500,4147626
2018-09-28,1375.0000,1389.0000,1250.0000,1266.6500,3601879
2018-08-31,1308.0000,1373.9000,1226.0500,1369.1000,5327890
2018-07-31,1277.5500,1346.8000,1243.5000,1302.6000,3484434
2018-06-29,1379.7500,1395.9500,1205.6000,1271.3000,3574825
2018-05-31,1416.3000,1424.5000,1311.0000,1367.6000,3155976
2018-04-30,1311.2000,1405.0000,1291.8000,1400.6000,3131729
2018-03-28,1323.0000,1332.3000,1259.7000,1311.9000,3125608
2018-02-28,1455.0000,1469.6000,1275.8500,1319.1000,6070230
2018-01-31,1264.9000,1441.0000,1243.1500,1416.6000,7118883
2017-12-29,1222.0000,1275.0000,1176.0000,1256.9500,9879364
2017-11-30,1226.0000,1274.0000,1202.0000,1216.8500,3464510
2017-10-31,1150.2000,1243.3500,1124.5000,1220.6000,4181968
2017-09-29,1137.0000,1249.9500,1116.4500,1141.2000,4339662
2017-08-31,1196.4000,1199.5000,1114.5500,1136.0000,3701980
2017-07-31,1689.9984,1756.7983,1153.2500,1192.1000,6272752
2017-06-30,1764.8983,1809.4983,1661.3484,1687.7984,41790480
2017-05-31,1747.9983,1833.9983,1679.9984,1759.7483,7590345
2017-04-28,1577.9985,1770.9983,1577.9985,1748.0483,4716920
2017-03-31,1470.1986,1592.9985,1460.2486,1577.5985,5899052
2017-02-28,1444.7486,1509.9986,1444.7486,1470.2486,3273554
2017-01-31,1349.9987,1469.6986,1349.9987,1444.7486,3796605
2016-12-30,1387.9487,1400.9987,1301.9988,1349.3987,2858497
2016-11-30,1477.1986,1480.1486,1295.2988,1382.5487,15161813
2016-10-28,1439.9986,1519.9986,1432.1986,1477.8986,3471615
2016-09-30,1509.9986,1545.7485,1412.5487,1431.6486,4414864
2016-08-31,1560.9985,1584.9485,1419.9986,1513.8486,6295148
2016-07-29,1498.9986,1614.9985,1498.9986,1557.9985,4851698
2016-06-30,1464.9986,1514.9986,1401.3987,1496.1986,5953084
2016-05-31,1248.7988,1494.9986,1223.9988,1474.2986,8741267
2016-04-29,1216.4988,1287.9988,1176.9989,1253.5488,4249134
2016-03-31,1089.9990,1248.1488,1080.9990,1216.1988,7266184
2016-02-29,1124.9989,1174.6489,1016.5990,1079.2490,9022621
2016-01-29,1275.9988,1291.2488,1069.9990,1102.1989,9816384
2015-12-31,1377.4487,1382.9987,1265.4988,1275.6488,6319556
2015-11-30,1402.9987,1403.9987,1325.5487,1374.0487,6819310
2015-10-30,1479.9986,1610.3985,1399.9987,1411.1487,6406345
2015-09-30,1581.9985,1629.9984,1413.1487,1466.6986,8025705
2015-08-31,1720.9984,1844.1482,1574.9985,1605.2985,5770044
2015-07-31,1783.7983,1886.2482,1741.0483,1789.5483,4808189
2015-06-30,1664.9984,1816.8983,1642.0984,1782.7483,6584178
2015-05-29,1649.9984,1668.3484,1545.3485,1655.3484,5757419
2015-04-30,1724.8984,1819.9983,1626.7484,1632.4984,5079442
2015-03-31,1780.3983,1892.9482,1616.3485,1718.9984,7878314
2015-02-27,1694.9984,1764.9983,1531.9985,1758.5483,6937025
2015-01-30,1493.3986,1749.4983,1486.5486,1700.0984,6619941
2014-12-31,1637.6984,1654.8984,1451.6486,1496.4986,5444210
2014-11-28,1660.2984,1692.5984,1593.6485,1640.0984,4293307
2014-10-31,1459.9986,1659.9484,1399.9987,1654.8484,4655335
2014-09-30,1534.9985,1629.9484,1435.3486,1457.4486,5905492
2014-08-28,1489.9986,1555.9985,1439.1986,1526.8985,5723541
2014-07-31,1707.3984,1762.9983,1500.9986,1504.0986,8313485
2014-06-30,1612.2485,1774.6983,1602.9985,1701.5984,6513700
2014-05-30,1306.3988,1622.6985,1251.5988,1548.8985,9771110
2014-04-30,1267.5988,1387.8487,1242.4488,1295.5488,5729622
2014-03-31,1101.0990,1300.9988,1086.9990,1272.6488,8218381
2014-02-28,986.4991,1113.9489,961.9991,1108.2989,4578660
2014-01-31,1074.9990,1079.6990,951.5991,985.3991,7931569
2013-12-31,1042.1990,1152.3989,1033.4990,1069.8990,7693295
2013-11-29,971.9991,1046.9990,912.2991,1043.3490,7282210
2013-10-31,789.9992,984.6491,777.0993,972.5491,11351738
2013-09-30,729.9993,897.9991,687.5993,788.5992,11123738
2013-08-30,852.2992,864.4992,678.0994,722.2493,11632858
2013-07-31,1406.9973,1453.6473,834.2492,846.4492,12680276
2013-06-28,1399.9974,1463.9972,1336.0974,1404.1473,9059102
2013-05-31,1506.5972,1652.0969,1399.9974,1401.5973,13553491
2013-04-30,1369.9974,1546.4970,1313.1975,1512.5972,9238846
2013-03-28,1369.9974,1531.2971,1330.9974,1364.8974,10245311
2013-02-28,1546.0470,1556.3471,1351.9974,1365.7974,7628137
2013-01-31,1615.9970,1660.9968,1499.9972,1542.8970,11154796
2012-12-31,1669.9968,1698.9968,1572.4970,1605.8469,6728652
2012-11-30,1629.9969,1691.5968,1537.1970,1667.0969,7224782
2012-10-31,1591.9970,1719.4967,1581.4970,1624.7469,11844418
2012-09-28,1353.9974,1618.9970,1309.9976,1596.7470,11624093
2012-08-31,1367.7974,1481.1972,1324.0974,1341.3975,9477506
2012-07-31,1399.9974,1441.8473,1307.9975,1369.6475,12863275
2012-06-29,1167.9978,1399.9974,1106.3979,1397.3474,21435148
2012-05-31,1230.0977,1236.9977,1110.9980,1172.2977,20196723
2012-04-30,1308.7976,1364.7974,1192.5477,1226.2977,10114527
2012-03-30,1299.9975,1403.9973,1211.1477,1306.8476,18986512
2012-02-29,1302.9975,1529.7971,1278.2976,1308.0975,22798000
2012-01-31,1006.6982,1387.9974,990.9981,1310.5976,22970594
2011-12-30,1304.9975,1334.8974,970.9982,995.0981,26719092
2011-11-30,1397.1474,1406.8473,1174.9977,1268.7977,16810322
2011-10-31,1346.9975,1453.3973,1268.3976,1413.2474,16733164
2011-09-30,1634.9969,1719.8967,1349.9975,1358.1974,16986674
2011-08-30,1736.2967,1767.9966,1517.9972,1609.7970,12599937
2011-07-29,1839.9965,1867.8465,1719.9968,1725.9467,8573199
2011-06-30,1642.6968,1836.9465,1634.9969,1822.6466,9677760
2011-05-31,1618.9970,1668.8969,1474.9973,1643.9969,18701020
2011-04-29,1666.4969,1768.3467,1592.8970,1597.8969,10364822
2011-03-31,1544.9970,1932.9464,1503.0471,1653.2469,15244017
2011-02-28,1649.9969,1723.6967,1463.0472,1528.0472,16436752
2011-01-31,1989.9962,1998.0962,1554.9971,1641.1469,17676433
2010-12-31,1950.0464,2063.9961,1918.6964,1979.0463,6623751
2010-11-30,2027.9961,2211.9959,1907.2464,1949.8463,7722170
2010-10-29,2044.6961,2116.9959,1928.7963,2021.8461,9611608
2010-09-30,1819.9965,2074.5960,1684.9968,2044.6961,9223614
2010-08-31,1805.9966,1886.9964,1763.6967,1812.4466,7093312
2010-07-30,1794.9966,1948.9964,1780.1466,1797.0966,10369362
2010-06-30,1629.6969,1843.7465,1586.9970,1804.5465,12919033
2010-05-31,1599.9969,1679.9969,1475.0972,1628.5970,14889613
2010-04-30,1635.2469,1660.8969,1549.9971,1608.3470,8014599
2010-03-31,1584.9971,1669.7969,1541.2470,1626.3470,9011124
2010-02-26,1424.9973,1581.4470,1370.9975,1566.8471,14668131
2010-01-29,1697.9967,1708.9968,1401.1473,1425.0473,19015906
2009-12-31,1617.9969,1718.9967,1604.9970,1679.3969,12307617
2009-11-30,1566.6971,1668.9968,1485.0972,1614.1469,24442451
2009-10-30,1676.9969,1727.4968,1540.9971,1567.1471,17999405
2009-09-30,1578.9971,1689.9968,1502.9972,1683.1968,15578678
2009-08-31,1518.4971,1622.9469,1389.9974,1567.5971,21071498
2009-07-31,1577.9970,1661.9969,1304.9975,1506.5972,33017538
2009-06-30,1419.9974,1799.9966,1371.9974,1568.2970,37029104
2009-05-29,894.9983,1469.7473,894.9983,1405.5974,39444077
2009-04-29,679.9988,924.4983,662.9988,879.5483,47512989
2009-03-31,598.9989,693.6987,556.9989,672.6488,43341230
2009-02-27,695.9987,710.9987,598.2489,611.4489,39021973
2009-01-30,777.0485,867.8984,610.9989,689.1987,46699612
2008-12-31,729.9986,843.6984,669.9987,774.3986,50206018
2008-11-28,834.9984,959.9982,699.9987,726.9486,43275979
2008-10-31,1247.9976,1249.9976,679.9988,805.4484,58631912
2008-09-30,2579.7951,2824.9947,2255.9958,2442.8453,46125759
2008-08-29,2569.9950,2929.9944,2480.1453,2589.8450,43381131
2008-07-31,2198.9960,2814.8948,2099.9961,2602.6950,64138211
2008-06-30,3006.9944,3037.9941,2164.9959,2183.1960,44023552
2008-05-30,3030.9942,3261.9938,2665.9949,2981.3444,33671080
2008-04-30,3050.0442,3084.9942,2544.9953,3003.3444,34534353
2008-03-31,3499.9934,3499.9934,2615.0450,3024.7943,28623055
2008-02-29,3699.9930,3873.9927,3203.9940,3523.0433,16240390
2008-01-31,4145.3423,4399.9916,2999.9943,3680.3430,22595569
2007-12-31,4178.9921,4384.9917,3936.2925,4171.8420,10734009
2007-11-30,4299.9920,4669.9911,3849.9926,4128.9921,30861738
2007-10-31,2749.9949,4469.9916,2724.9948,4244.5421,42758780
2007-09-28,2649.9950,2949.9944,2499.9953,2812.5948,19714726
2007-08-31,2530.5953,2629.9952,2240.5458,2582.7452,29633556
2007-07-31,2189.9960,2734.9947,2189.9960,2606.4950,34913567
2007-06-29,2019.9963,2210.0958,1863.3465,2196.0459,23597382
2007-05-31,1709.9969,2057.9961,1657.9970,1998.6462,18273944
2007-04-30,1598.9970,1724.9967,1507.9971,1696.3968,14787058
2007-03-30,1497.9972,1644.8970,1374.8975,1619.1468,21212378
2007-02-28,1599.9971,1777.9967,1469.9973,1487.4974,21458939
2007-01-31,1399.9973,1647.9968,1399.9973,1587.3971,10748963
2006-12-29,1378.9974,1489.9973,1349.9976,1442.9474,16990301
2006-11-30,1312.7976,1422.0972,1259.9976,1369.3976,18642538
2006-10-31,1269.9977,1324.7976,1230.1478,1312.7976,16520285
2006-09-29,2425.9955,2727.9950,1262.9978,1273.0476,37636574
2006-08-31,2199.9960,2454.7455,2175.9957,2401.0452,23930319
2006-07-31,2234.9957,2321.9955,1956.9965,2210.9459,24203747
2006-06-30,2354.9954,2379.9956,1805.2466,2243.0957,57432324
2006-05-31,2729.9948,2914.9943,2000.9961,2318.2956,44995947
2006-04-28,2454.9953,2788.9947,2422.1952,2695.2948,31631234
2006-03-31,2419.9956,2616.3950,2375.0955,2432.5952,45097321
2006-02-28,2199.9960,2516.3951,2172.9960,2396.9957,59314335
2006-01-31,1844.9964,2207.9957,1771.7468,2166.7460,20984622
2005-12-30,1694.9966,1849.7966,1664.9969,1844.1963,18186794
2005-11-30,1401.4976,1769.9967,1400.9972,1692.4968,17395818
2005-10-31,1519.9970,1570.4469,1286.4974,1399.3974,17684791
2005-09-30,1344.9974,1577.9970,1304.9973,1512.6471,13917214
2005-08-31,1278.9977,1398.9974,1239.4976,1332.9473,12818267
2005-07-29,1139.8977,1307.8976,1134.9977,1270.2474,15638979
2005-06-30,1047.9978,1170.8478,1045.8981,1133.9478,23500073
2005-05-31,974.9984,1132.8980,964.9980,1046.6478,19255968
2005-04-29,997.9983,1054.9980,918.9981,963.7484,15281796
2005-03-31,1092.9978,1147.9977,965.0984,995.1480,20437897
2005-02-28,1006.9983,1125.4977,962.0982,1085.7479,30483741
